Clade Name	Clade Definition	Section	Components	 Show	Comments
All	ACACH+ANAPL+APAVI+APTFO+BALRE+BUCRH+CALAN+CAPCA+CARCR+CATAU+CHAPE+CHAVO+CHLUN+COLLI+COLST+CORBR+CUCCA+EGRGA+EURHE+FALPE+FULGL+GALGA+GAVST+GEOFO+HALAL+HALLE+LEPDI+MANVI+MELGA+MELUN+MERNU+MESUN+NESNO+NIPNI+OPHHO+PELCR+PHACA+PHALE+PHORU+PICPU+PODCR+PTEGU+PYGAD+STRCA+TAEGU+TAUER+TINMA+TYTAL	None	 	0	
Otidiformes	CHLUN	None	 	0	
Caprimulgiformes	CAPCA	None	 	0	
Cariamiformes	CARCR	None	 	0	
Gruiformes	BALRE	None	 	0	
Cuculiformes	CUCCA	None	 	0	
Leptosomiformes	LEPDI	None	 	0	
Columbiformes	COLLI	None	 	0	
Falconiformes	FALPE	None	 	0	
Opisthocomiformes	OPHHO	None	 	0	
Bucerotiformes	BUCRH	None	 	0	
Mesitornithiformes	MESUN	None	 	0	
Coliiformes	COLST	None	 	0	
Pterocliformes	PTEGU	None	 	0	
Charadriiformes	CHAVO	None	 	0	
Eurypygiformes	EURHE	None	 	0	
Musophagiformes	TAUER	None	 	0	
Trogoniformes	APAVI	None	 	0	
Strigiformes	TYTAL	None	 	0	
Accipitridae	HALAL+HALLE	None	 	0	
Trochili	CHAPE+CALAN	None	 	0	
Psittaciformes	NESNO+MELUN	None		0	
Oscines	CORBR+GEOFO+TAEGU	None		0	
OscinesManakin	Oscines+MANVI	None		0	
Passeriformes	ACACH+OscinesManakin	None		0	
Piciformes/Coraciiformes	MERNU+PICPU	None		0	
Piciformes/Coraciiformes+Bucerotiformes	Bucerotiformes+Piciformes/Coraciiformes	None		0	
Sphenisciformes	PYGAD+APTFO	None		0	
Psittacopasserae	Psittaciformes+Passeriformes	None		0		
Falconopasserea	Psittacopasserae+Falconiformes	None		0	
Australaves	Falconopasserea+Cariamiformes	None		1	
Coraciimorphae	Piciformes/Coraciiformes+Bucerotiformes+Trogoniformes+Leptosomiformes+Coliiformes	None		1	
Coraciimorphae - Leptosomiformes - Coliiformes	Piciformes/Coraciiformes+Bucerotiformes+Trogoniformes	None		0	
Cavitaves	Piciformes/Coraciiformes+Bucerotiformes+Trogoniformes+Leptosomiformes	None		1	
Coraciimorphae+Strigiformes	Coraciimorphae+Strigiformes	None		1	
Accipitrimorphae	Accipitridae+CATAU	None		0	Accipitrimorphae
Afroaves	Strigiformes+Accipitrimorphae+Coraciimorphae	None		1		
Telluraves	Australaves+Coraciimorphae+Strigiformes+Accipitrimorphae	None		0	
Strigiformes+Accipitrimorphae	Strigiformes+Accipitrimorphae	None		1	
Australaves+Coraciimorphae	Australaves+Coraciimorphae	None		1	
Passeriformes+Piciformes/Coraciiformes	Passeriformes+Piciformes/Coraciiformes	None		0	
Bucerotiformes+Trogoniformes	Bucerotiformes+Trogoniformes	None		0	
Falconiformes+Cariamiformes	Falconiformes+Cariamiformes	None		0	
Vocal Learners & other land birds	Trochili+Passeriformes+Piciformes/Coraciiformes+Coliiformes+Psittaciformes	None		0	
Telluraves+Charadriiformes	Telluraves+Charadriiformes	None		0	
Birds of prey	Accipitrimorphae+Strigiformes+Falconiformes	None		0	
Birds of prey+Cariamiformes	Accipitrimorphae+Strigiformes+Falconiformes+Cariamiformes	None		0	
Psittacopasserae+Coly	Psittacopasserae+Coliiformes	None		0	
StrigiformesColy	Strigiformes+Coliiformes	None		0	
Ciconiiforms	EGRGA+NIPNI	None		0	
Pelecanidae/Ardeidae	EGRGA+PELCR	None		1	
Pelecanidae/Ardeidae/Threskiornithidae	Pelecanidae/Ardeidae+NIPNI	None		0	
Pelecanimorphae	Pelecanidae/Ardeidae/Threskiornithidae+PHACA	None		0	
Procellariimorphae	FULGL+Sphenisciformes	None		0	
IbisPelican	NIPNI+PELCR	None		1	
EgretCormorant	EGRGA+PHACA	None		0	
IbisCormorant	PHACA+NIPNI	None		0	
Procellariimorphae+Pelecanimorphae	Procellariimorphae+Pelecanimorphae	None		0	
Aequornithia	Procellariimorphae+Pelecanimorphae+GAVST	None		0	
AequornithiaNoLoon	Procellariimorphae+Pelecanimorphae	None		0	
Phaethontimorphae	PHALE+Eurypygiformes	None		0	
Aequornithia+Phaethontimorphae	Aequornithia+Phaethontimorphae	None		1	
Telluraves+Phaethontimorphae	Telluraves+Phaethontimorphae	None		1	
Telluraves+Aequornithia+Phaethontimorphae	Telluraves+Phaethontimorphae+Aequornithia	None		0	
Cursorimorphae	Gruiformes+Charadriiformes	None		1	
Cursorimorphae+Opisthocomiformes	Opisthocomiformes+Cursorimorphae	None		1	
X	Aequornithia+Phaethontimorphae+Cursorimorphae+Opisthocomiformes+Telluraves	None		0	
Passerea - Caprimulgimorphae - Otidimorphae	X	None		1	
Caprimulgimorphae	Trochili+Caprimulgiformes	None		0	
Otidiformes+Musophagiformes	Otidiformes+Musophagiformes	None		1	
Otidimorphae	Otidiformes+Musophagiformes+Cuculiformes	None		1	
Caprimulgimorphae+Otidimorphae	Otidimorphae+Caprimulgimorphae	None		1	
Passerea	X+Otidimorphae+Caprimulgimorphae	None		1	
Mesitornithiformes+Peterocliformes	Mesitornithiformes+Pterocliformes	None		0	
Pteroclimorphae	Mesitornithiformes+Pterocliformes	None		0	
Columbimorphae	Pteroclimorphae+Columbiformes	None		1	
Phoenicopterimorphae	PODCR+PHORU	None		0	
Columbea	Phoenicopterimorphae+Columbimorphae	None		1	
Neoaves	X+Columbea+Caprimulgimorphae+Otidimorphae	None		0	
Aequornithia+Phaethontimorphae+Cursorimorphae	Aequornithia+Phaethontimorphae+Cursorimorphae	None		0	
Aequornithia+Phaethontimorphae+Cursorimorphae+Opisthocomiformes	Aequornithia+Phaethontimorphae+Cursorimorphae+Opisthocomiformes	None		1	
A+P+C+O+Caprimulgimorphae	Caprimulgimorphae+Aequornithia+Phaethontimorphae+Cursorimorphae+Opisthocomiformes	None		1	
Passerea - Otidimorphae	X+Caprimulgimorphae	None		1	
Cuculiformes+Columbiformes	Cuculiformes+Columbiformes	None		0	
Pteroclimorphae+Phoenicopterimorphae	Phoenicopterimorphae+Mesitornithiformes+Pterocliformes	None		0	
ColumbiformesPterocliformes	Columbiformes+Pterocliformes	None		0	
ColumbimorphaeCuculiformes	Columbimorphae+Cuculiformes	None		0	
Flamingo+Grebe+Gruiformes	Gruiformes+Phoenicopterimorphae	None		0	
LN_Cuculiformes+Columbiformes	Caprimulgimorphae+Cuculiformes+Columbiformes+Pteroclimorphae	None		0	
Phoenicopterimorphae_Charadriiformes	Phoenicopterimorphae+Charadriiformes	None		0	
MusophagiformesCuculiformes	Musophagiformes+Cuculiformes	None		0	
Opisthocomiformes+Aequornithia+TropicbirdEurypygiformes	Opisthocomiformes+Aequornithia+Phaethontimorphae	None		0	
Opisthocomiformes+Phaethontimorphae	Phaethontimorphae+Opisthocomiformes	None		0	
Caprimulgimorphae+Telluraves	Caprimulgimorphae+Telluraves	None		1	
Telluraves+Aequornithia	Telluraves+Aequornithia	None		0	
Neoaves - Telluraves	Aequornithia+Phaethontimorphae+Cursorimorphae+Opisthocomiformes+Caprimulgimorphae+Columbea+Otidimorphae	None		0	
X+OtidiformesMusophagiformesCuculiformes	X+Otidimorphae	None		0	
