CODE	name
ACACH	Rifleman
ANAPL	Pekin_duck
CAPCA	Chuck-wills-widow
APAVI	Bar-tailed_trogon
APTFO	Emperor_penguin
BALRE	Grey-crowned_crane
BUCRH	Rhinoceros_hornbill
CALAN	Annas_hummingbird
CARCR	Red-legged_seriema
CATAU	Turkey_vulture
CHAPE	Chimney_swift
CHAVO	Killdeer
CHLUN	MacQueens_bustard
COLLI	Pigeon
COLST	Speckled_mousebird
CORBR	American_crow
CUCCA	Common_cuckoo
EGRGA	Little_egret
EURHE	Sunbittern
FALPE	Peregrine_falcon
FULGL	Northern_fulmar
GALGA	Chicken
GAVST	Red-throated_loon
GEOFO	Medium_ground-finch
HALAL	White-tailed_eagle
HALLE	Bald_eagle
LEPDI	Cuckoo-roller
MANVI	Golden-collared_manakin
MELGA	Turkey
MELUN	Budgerigar
MERNU	Carmine_bee-eater
MESUN	Brown_mesite
NESNO	Kea
NIPNI	Crested_ibis
OPHHO	Hoatzin
PELCR	Dalmatian_pelican
PHACA	Great_cormorant
PHALE	White-tailed_tropicbird
PHORU	American_flamingo
PICPU	Downy_woodpecker
PODCR	Great-crested_grebe
PTEGU	Yellow-throated_sandgrouse
PYGAD	Adelie_penguin
STRCA	Common_ostrich
TAEGU	Zebra_finch
TAUER	Red-crested_turaco
TINMA	White-throated_tinamou
TYTAL	Barn_owl
ANOCA	Green_anole_lizard
ALLIG	American_alligator
AMISS	American_alligator
CHEMY	Green_sea_turtle
HUMAN	Human
